STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,PGTM,WT09,WT01,WT06,WT05,WT02,WT04,WT08,WT03
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20140213,30,150,48,-32,-132,30,50,40,81,98,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20140214,3,180,5,0,-49,51,260,260,112,148,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20140215,28,180,46,-16,-82,41,260,260,81,107,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20140216,8,200,18,-71,-132,40,310,320,72,94,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20140217,0,180,0,-27,-188,38,120,130,76,103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20140218,5,150,18,-5,-60,66,160,170,148,192,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20140219,0,150,0,100,-49,47,310,320,103,157,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20140220,175,80,0,61,-16,37,110,110,81,103,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20140221,30,50,0,89,11,57,230,220,125,161,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20140222,0,30,0,67,22,91,250,250,192,259,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20140223,0,0,0,44,-27,67,260,260,116,161,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20140224,5,0,15,-27,-71,67,270,270,125,165,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014768,ROCHESTER GREATER ROCHESTER INTERNATIONAL AIRPORT NY US,20140225,8,30,18,-55,-82,54,250,260,98,125,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
